date,strategy,gross_exposure,net_exposure,predicted_volatility,turnover,cdcc_a,cdcc_b,cdcc_persistence,shrinkage
2024-01-04,TSMOM Shrinkage Precision,1.4999999999999998,0.2572092895520577,0.0657764474356461,0.8222754480908044,0.012565668212721613,0.9420811262462871,0.9546467944590088,0.015662595005755196
2024-01-04,TSMOM cDCC Precision,1.5,0.3112219329049101,0.06664597782232255,0.7561713565269921,0.012565668212721613,0.9420811262462871,0.9546467944590088,0.015662595005755196
2024-04-02,Equal Weight,1.0,1.0,0.10118227110072409,0.025216785776224306,0.012306316527541826,0.9471686813807609,0.9594749979083027,0.01609973686862646
2024-04-02,TSMOM Inverse Volatility,1.2433236566540873,0.9433236566540875,0.09983110722973591,0.6056842923442224,0.012306316527541826,0.9471686813807609,0.9594749979083027,0.01609973686862646
2024-04-02,TSMOM Shrinkage Precision,1.119758449652523,0.8197584496525229,0.08279390130225973,0.7639647503989635,0.012306316527541826,0.9471686813807609,0.9594749979083027,0.01609973686862646
2024-04-02,TSMOM cDCC Precision,1.284158294108917,0.9841582941089168,0.07380208820461676,0.8204958504420499,0.012306316527541826,0.9471686813807609,0.9594749979083027,0.01609973686862646
2024-07-01,Equal Weight,1.0,1.0,0.10165980096547046,0.011845107203267376,0.011501987386540173,0.9488877036553117,0.9603896910418519,0.015948260613143476
2024-07-01,TSMOM Inverse Volatility,1.2831854555187023,0.8669021983027767,0.09994638917957577,0.19026750581884078,0.011501987386540173,0.9488877036553117,0.9603896910418519,0.015948260613143476
2024-07-01,TSMOM Shrinkage Precision,1.2048720764310652,0.6048720764310656,0.08880968606735765,0.6523323908515644,0.011501987386540173,0.9488877036553117,0.9603896910418519,0.015948260613143476
2024-07-01,TSMOM cDCC Precision,1.4495647277721064,0.8495647277721063,0.08747100304483063,0.6626013910813993,0.011501987386540173,0.9488877036553117,0.9603896910418519,0.015948260613143476
2024-10-01,Equal Weight,1.0,1.0,0.1082444961137365,0.01961154168870792,0.013811243874005457,0.942971693022127,0.9567829368961325,0.016043844598026446
2024-10-01,TSMOM Inverse Volatility,1.5,0.00571873981892132,0.07261867342396214,0.6109645639124441,0.013811243874005457,0.942971693022127,0.9567829368961325,0.016043844598026446
2024-10-01,TSMOM Shrinkage Precision,1.5,-0.03860480402770018,0.054431314402194494,0.8658526176260688,0.013811243874005457,0.942971693022127,0.9567829368961325,0.016043844598026446
2024-10-01,TSMOM cDCC Precision,1.5000000000000004,-0.00554441867063224,0.0541150657470466,1.0491691154544915,0.013811243874005457,0.942971693022127,0.9567829368961325,0.016043844598026446
2025-01-06,Equal Weight,1.0,1.0,0.11058195763477767,0.0209398525823751,0.014567792574238613,0.9375278856952641,0.9520956782695027,0.015411987318677146
2025-01-06,TSMOM Inverse Volatility,1.4604791947851605,0.5957281445744378,0.09730380542475307,0.6054551303328443,0.014567792574238613,0.9375278856952641,0.9520956782695027,0.015411987318677146
2025-01-06,TSMOM Shrinkage Precision,1.4999999999999998,0.33823365902357344,0.06995818599514977,0.6308241038482345,0.014567792574238613,0.9375278856952641,0.9520956782695027,0.015411987318677146
2025-01-06,TSMOM cDCC Precision,1.5,0.3458264680415218,0.067019896994072,0.654737020460225,0.014567792574238613,0.9375278856952641,0.9520956782695027,0.015411987318677146
2025-04-01,Equal Weight,1.0,1.0,0.1114711782036291,0.026572937130337624,0.014283650357574802,0.9394970868982685,0.9537807372558433,0.014828747277596076
2025-04-01,TSMOM Inverse Volatility,1.2725478466183553,0.7395424391578033,0.0981256251230563,0.5634169539822529,0.014283650357574802,0.9394970868982685,0.9537807372558433,0.014828747277596076
2025-04-01,TSMOM Shrinkage Precision,1.4999999999999998,0.4660695419334684,0.07484620380118857,0.9695498428286287,0.014283650357574802,0.9394970868982685,0.9537807372558433,0.014828747277596076
2025-04-01,TSMOM cDCC Precision,1.5,0.5428825597128815,0.08162800996852314,0.8393396997163194,0.014283650357574802,0.9394970868982685,0.9537807372558433,0.014828747277596076
2025-07-01,Equal Weight,1.0,1.0,0.11494054793668368,0.023358056055637247,0.014135742552925157,0.9289460315270867,0.9430817740800118,0.015578826672095071
2025-07-01,TSMOM Inverse Volatility,1.3360436925210994,0.7625589774730666,0.09992847084895463,0.23167941197797418,0.014135742552925157,0.9289460315270867,0.9430817740800118,0.015578826672095071
2025-07-01,TSMOM Shrinkage Precision,1.5,0.6812336304594079,0.09839573754906326,0.6245740794228462,0.014135742552925157,0.9289460315270867,0.9430817740800118,0.015578826672095071
2025-07-01,TSMOM cDCC Precision,1.4999999999999998,0.7695861298699893,0.08911680764594225,0.663060624394369,0.014135742552925157,0.9289460315270867,0.9430817740800118,0.015578826672095071
2025-10-01,Equal Weight,1.0,1.0,0.11014503342749062,0.026248539327899473,0.014426501710670702,0.9338001808565485,0.9482266825672192,0.01874411502986764
2025-10-01,TSMOM Inverse Volatility,1.1860814663819896,0.8589774570448478,0.1,0.22189627386897373,0.014426501710670702,0.9338001808565485,0.9482266825672192,0.01874411502986764
2025-10-01,TSMOM Shrinkage Precision,1.3026901920028966,0.7628547980947201,0.08833821886818667,0.804293662539556,0.014426501710670702,0.9338001808565485,0.9482266825672192,0.01874411502986764
2025-10-01,TSMOM cDCC Precision,1.3313494784883413,0.8430441812363738,0.06728412783161794,0.7993392669642446,0.014426501710670702,0.9338001808565485,0.9482266825672192,0.01874411502986764
2026-01-05,Equal Weight,1.0,1.0,0.10606475907891552,0.01321067522543085,0.015032909904346798,0.9272910699261472,0.942323979830494,0.019963075579784745
2026-01-05,TSMOM Inverse Volatility,1.1993435680717082,0.9155764162125405,0.1,0.16537974409415485,0.015032909904346798,0.9272910699261472,0.942323979830494,0.019963075579784745
2026-01-05,TSMOM Shrinkage Precision,1.2394023614953171,0.6394023614953173,0.08982219677209503,0.595045834420383,0.015032909904346798,0.9272910699261472,0.942323979830494,0.019963075579784745
2026-01-05,TSMOM cDCC Precision,1.3904830693285928,0.7904830693285929,0.08541102581671382,0.6386638182313749,0.015032909904346798,0.9272910699261472,0.942323979830494,0.019963075579784745
2026-04-01,Equal Weight,1.0,1.0,0.10056438500488935,0.031249774439774364,0.01688466334140897,0.9046163171292909,0.9215009804706998,0.021964742460423143
2026-04-01,TSMOM Inverse Volatility,1.1742133461605275,0.9078713711599015,0.1,0.09180044676808324,0.01688466334140897,0.9046163171292909,0.9215009804706998,0.021964742460423143
2026-04-01,TSMOM Shrinkage Precision,1.2412550726595968,0.6412550726595967,0.09484459249951377,0.6513942700637914,0.01688466334140897,0.9046163171292909,0.9215009804706998,0.021964742460423143
2026-04-01,TSMOM cDCC Precision,1.2811469986283115,0.781753160012678,0.09382876602793494,0.6009838413038748,0.01688466334140897,0.9046163171292909,0.9215009804706998,0.021964742460423143
2026-07-01,Equal Weight,1.0,1.0,0.09782547120379761,0.02865240493362787,0.018238210803577033,0.9081883115671365,0.9264265223707135,0.022959166136391627
2026-07-01,TSMOM Inverse Volatility,1.2565050699247968,0.9210768037629923,0.1,0.16527725475467345,0.018238210803577033,0.9081883115671365,0.9264265223707135,0.022959166136391627
2026-07-01,TSMOM Shrinkage Precision,1.4697687963508734,0.5697687963508733,0.08695017913134423,0.429010814418858,0.018238210803577033,0.9081883115671365,0.9264265223707135,0.022959166136391627
2026-07-01,TSMOM cDCC Precision,1.4791435418051428,0.5791435418051428,0.07201034241889533,0.41848462014057625,0.018238210803577033,0.9081883115671365,0.9264265223707135,0.022959166136391627
