Date,Equal Weight,Shrinkage Risk Parity,cDCC Risk Parity,Shrinkage Minimum Variance,cDCC Minimum Variance
2024-04-03,1.2571062485533335,1.186967032008563,1.1783898748762092,1.139192578457781,1.1565616417458617
2024-04-04,1.2583452547853726,1.1879075776164436,1.1794102371201463,1.1412838077774505,1.1591440689798642
2024-04-05,1.256694117667308,1.1859146942374634,1.1776634944476478,1.1374022441416514,1.156607166765672
2024-04-08,1.263556675800812,1.191026018688848,1.1825445678095503,1.1422088357609095,1.1614205980590717
2024-04-09,1.2687151142081192,1.1961726530763372,1.187402362260862,1.1481617086553884,1.1666287790639236
2024-04-10,1.2572702752792442,1.1873678934279037,1.1786804679991232,1.1416184976475352,1.160725175125816
2024-04-11,1.2618962323102154,1.1889959981849623,1.1802613659610748,1.1418363095372446,1.1606953877437434
2024-04-12,1.259817803735827,1.1877874447874817,1.1789009416955347,1.1420890356640638,1.1594169561277954
2024-04-15,1.2552273826806912,1.1843662169870401,1.1752939188955174,1.1382325241497797,1.1555100843193253
2024-04-16,1.2533829175258402,1.1828273650032342,1.174093864789204,1.1383523439681758,1.1572642111429496
2024-04-17,1.2543910014269586,1.1839027496821146,1.175356907202804,1.1407046169066037,1.1601673748565917
2024-04-18,1.255686331121492,1.1853265407602198,1.176685132789427,1.1408761845445337,1.160322815118863
2024-04-19,1.2583808510343486,1.1871147581941959,1.1787445163894035,1.1419257674748515,1.1625507702301456
2024-04-22,1.2612000590588297,1.1883697897745367,1.1797399510682456,1.1436192250561523,1.1624005831389912
2024-04-23,1.265170061786001,1.1905344997249903,1.1822033998799024,1.1448175018509654,1.16507019638195
2024-04-24,1.2654512640881541,1.1910870679859795,1.1825448116481985,1.1450266866019725,1.1645207512329607
2024-04-25,1.2674833755416794,1.1916622484305281,1.1835097040051603,1.1443196441355763,1.1654276063722524
2024-04-26,1.2775220909934684,1.1992202114648869,1.191167685956947,1.1502495171956968,1.1720157200033088
2024-04-30,1.2572390401012852,1.1870810977312283,1.17801605144585,1.1437784466298542,1.162124781795135
2024-05-01,1.2633246165377188,1.191002765790033,1.182105527734784,1.1478374110356089,1.1665997283121965
2024-05-02,1.2582463704831852,1.187787590652652,1.1787096072737477,1.145170086925911,1.1630895419676714
2024-05-07,1.2681950684895327,1.1962420711204607,1.1872312446282551,1.153223859038113,1.1719020912925402
2024-05-08,1.2675582150284195,1.1943732249922725,1.1855214901789313,1.1500073280724525,1.168702122098551
2024-05-09,1.2752425248341015,1.1980941453444214,1.1899082112365127,1.1497326585267822,1.1710317174358769
2024-05-10,1.275472112051939,1.1983250207629932,1.1900673889067734,1.1497600168822084,1.1713848002450702
2024-05-13,1.281150249939965,1.2012515326413589,1.193013481688488,1.1518077526315562,1.1729589494757442
2024-05-14,1.2877690059961546,1.2056301135804754,1.1975568423932623,1.154625400113557,1.1767865692683652
2024-05-15,1.301875693092408,1.2148138807173439,1.207088107318862,1.1591868024429786,1.1823666137279134
2024-05-16,1.2881095687672721,1.2055980055620876,1.1975062605105025,1.15223043378181,1.1743081425813042
2024-05-17,1.2989354242033933,1.2123644401170122,1.204411891226022,1.1553831490229352,1.178324518868213
2024-05-20,1.3014051784415905,1.2130223999385,1.2051104808744464,1.1555063014623161,1.1788984973073071
2024-05-21,1.304264217449671,1.214942508427937,1.2072748017860022,1.1568974552357232,1.1810491953481
2024-05-22,1.2929741455309023,1.2071716822921612,1.1997274192926883,1.1520745075197947,1.1768741737244837
2024-05-23,1.2877576220091125,1.2036107265716127,1.1961440659333304,1.1505755800182258,1.174872181808012
2024-05-24,1.2903566957374921,1.2042785909104916,1.1971183770612617,1.1501449823068155,1.1751639877482312
2024-05-28,1.2959823868725147,1.2085115394051773,1.2013220047786812,1.1529026047600366,1.1789333438368632
2024-05-29,1.2861086617172843,1.2003037500626856,1.1933356893405425,1.1467591150827081,1.173445290554545
2024-05-30,1.2871055393937652,1.2006481068432322,1.1939282062888106,1.1462676765988653,1.173711237248964
2024-05-31,1.2875012980468183,1.201356341893879,1.1941619213789494,1.1477772926089604,1.1734971037841417
2024-06-03,1.2928402054987402,1.2063140867113744,1.199050803646651,1.1519097087773338,1.1773172201173852
2024-06-04,1.2845510683325412,1.2014312009154573,1.1940583141167,1.1496558431836603,1.1747561433716842
2024-06-05,1.2829288257717533,1.1997401563251053,1.1926085642676565,1.146799282444446,1.1724644635512558
2024-06-06,1.2922588555848942,1.207250885341623,1.200264840045456,1.1522834639968722,1.178986389352227
2024-06-07,1.2758063305961809,1.1958884088171398,1.1889982553406018,1.1447428323636815,1.171125994480956
2024-06-10,1.2852230130577056,1.2007091417274727,1.193724067172078,1.1469133767773896,1.172702663724068
2024-06-11,1.2842731945810628,1.20048628542097,1.1935182699918094,1.1479046886113164,1.1730221882933025
2024-06-12,1.293656076902889,1.2068645505998987,1.2003710954745443,1.151370599125211,1.178195735520821
2024-06-13,1.287945110386456,1.2038507375266587,1.197365314584335,1.1509142089764806,1.1767399232975617
2024-06-14,1.290952133769203,1.2080112563224754,1.2010965397501074,1.1557444039549303,1.1793671641121886
2024-06-17,1.2902936045700248,1.205918544666746,1.1995973320615425,1.1523589007485853,1.1777767520229363
2024-06-18,1.2979850560660404,1.2105751574470678,1.2043570600934805,1.1552829844270454,1.181007372700796
2024-06-20,1.3030202304406553,1.2142605536911968,1.2080975627313182,1.1572549524225706,1.183811566178587
2024-06-21,1.302987770897217,1.2137519839887416,1.2076729853935464,1.158101693834089,1.1841444912173822
2024-06-24,1.3123474951703489,1.220270361994181,1.2142638902037026,1.1627624398895724,1.1898065270139093
2024-06-25,1.3105780485667429,1.2204819411822643,1.2140697241727727,1.165800010963195,1.1914210784696566
