Date,Equal Weight,TSMOM Inverse Volatility,TSMOM Shrinkage Precision,TSMOM cDCC Precision
2024-01-26,1.2112654555097173,1.1585392414410014,1.100452699847608,1.092474995388809
2024-01-29,1.217164220750427,1.1661186760882056,1.1067704519840282,1.0989449299413692
2024-01-30,1.2135486860779798,1.1621931989499663,1.1046993192248782,1.096664523580203
2024-01-31,1.2099542085060666,1.1623178130179483,1.1056499971687295,1.096715984873005
2024-02-01,1.207462981505374,1.1654107662533124,1.10883186815039,1.100184766269445
2024-02-02,1.199220191260733,1.1593178231742132,1.105515235456519,1.0970367868550892
2024-02-05,1.2044949322882696,1.1606106349856524,1.1060516034886712,1.098001789122438
2024-02-06,1.2077456690958956,1.161519568059086,1.1056937427694977,1.0979139483510745
2024-02-07,1.203378337812249,1.1581838753967564,1.103054206954061,1.0955056250066117
2024-02-08,1.2066408263490458,1.1581841988812727,1.10155390566848,1.0944121176285269
2024-02-09,1.213582458384339,1.163093584059393,1.1038996094643432,1.097458362469037
2024-02-13,1.205383943779478,1.1562427263071269,1.1023086883022686,1.0952706267639123
2024-02-14,1.215937508837761,1.168861960091234,1.1102534520701364,1.103953601484922
2024-02-15,1.2214515979425289,1.1731152111846113,1.1130281546663432,1.1070517540269298
2024-02-16,1.2190383049079967,1.1712967222610469,1.1142747747771284,1.1077770848512343
2024-02-20,1.2208908319369296,1.1738591238599851,1.117274799730527,1.1104812386063485
2024-02-21,1.2199012444900668,1.1714573932071661,1.1153758659890196,1.1086151301311402
2024-02-22,1.2290264181540949,1.1800475754326571,1.1214660573189736,1.1157426081309558
2024-02-26,1.2272605996039054,1.1741017582710394,1.1158810983052343,1.1102761118431792
2024-02-27,1.2297515731487003,1.1748974020310319,1.1159658962425392,1.1105363858910726
2024-02-28,1.2270371146336876,1.1725019237253718,1.1149089295090127,1.1093756647259139
2024-02-29,1.2288717308406916,1.1772931949603416,1.1190056934036685,1.113478240179025
2024-03-01,1.233362365029521,1.180075819129347,1.121126883955788,1.115766789239287
2024-03-04,1.2344679466781252,1.1807639840294517,1.1228819511787151,1.1172037939684312
2024-03-05,1.2365034071529102,1.1848171412499402,1.1265237470113563,1.1203240729483208
2024-03-06,1.239708007929951,1.186372721335861,1.1273080033137923,1.1212828548807448
2024-03-07,1.2392488895185825,1.1894069622436771,1.1301439861700031,1.1242523487406106
2024-03-08,1.2321129379882825,1.1865629925205436,1.1287072826112645,1.12193842965208
2024-03-11,1.2254291991446187,1.181562916072549,1.1247136469050134,1.117531840447029
2024-03-12,1.223913634100423,1.1813485148415146,1.1244056190046448,1.1178964008359322
2024-03-13,1.2322266755318307,1.185169441890475,1.128161047756538,1.121746657422299
2024-03-14,1.2294698373136843,1.1785464300574384,1.1231559535347706,1.1167117394871797
2024-03-15,1.232077539422104,1.1780560599904473,1.1250179684573758,1.1183793842839727
2024-03-18,1.240550726427655,1.1818648893115238,1.1272679409040158,1.121144721278346
2024-03-19,1.2454337580429404,1.1797504964727612,1.1226085018367797,1.1171121378437827
2024-03-21,1.2496627695465845,1.1840943007903324,1.1253182109963704,1.1197836117391613
2024-03-22,1.2514631133726075,1.1822415139624667,1.1220896145828358,1.1169400939133196
2024-03-25,1.2470803305742073,1.1762829972986997,1.1173591197460595,1.1120605537836112
2024-03-26,1.2481959676188559,1.178291906341621,1.1186246803319735,1.1132470356193451
2024-03-27,1.2550530671216917,1.1845766113106646,1.122991841551942,1.1180107438137452
2024-03-28,1.2554237065616778,1.182827967930737,1.1213327861378952,1.1162750776300705
2024-04-02,1.251938613510056,1.1775261964106625,1.1177242096368463,1.1120561883146745
2024-04-03,1.257105945892201,1.1815775750799553,1.1208488841581894,1.1161798747224394
2024-04-04,1.2583450032145373,1.185198054407838,1.1239302711277372,1.119382322969291
2024-04-05,1.2566938657577058,1.182539088249219,1.121277662802566,1.1167933033532937
2024-04-08,1.2635564563390325,1.1891580196628788,1.1282482464121157,1.1250390645107866
2024-04-09,1.2687148147438434,1.1956441993281532,1.1349628132882306,1.1326320962049559
2024-04-10,1.2572700430526036,1.1871557333993417,1.1271951511409863,1.1233426597576492
2024-04-11,1.2618959817027398,1.1910338365641069,1.1317889707303097,1.1288898722315932
2024-04-12,1.2598175084510863,1.190590679950278,1.1317741310137348,1.128667566507243
2024-04-15,1.2552272022936672,1.1828263850588068,1.126980500088063,1.1237860802110924
2024-04-16,1.2533827053495665,1.1840834106631881,1.1291841563365548,1.1260142439713503
2024-04-17,1.2543907565562649,1.1872536599053205,1.1327611212784943,1.129927178550682
2024-04-18,1.255686077196707,1.1870935100717561,1.1323920490729695,1.129965084233251
2024-04-19,1.2583805531978633,1.188316705832644,1.1342092843958607,1.132439307879397
2024-04-22,1.2611998009683023,1.1913493274075957,1.1352454889398595,1.133281449227165
2024-04-23,1.26516981715122,1.1942129388210314,1.1355990140565941,1.133683634150662
2024-04-24,1.2654511213365724,1.1961450630007613,1.136281825838168,1.1343192153874144
2024-04-25,1.267483128255741,1.1982341829078933,1.138022152915577,1.1364799126846843
2024-04-26,1.277521844203974,1.2081273939279642,1.1452026129931052,1.145231944042743
2024-04-30,1.2572387954637714,1.1893192945322464,1.1310445394194173,1.1279336580163948
2024-05-01,1.2633243831717946,1.1976718194832308,1.1393662667563047,1.1375430044248254
2024-05-02,1.258246122665353,1.190946676355913,1.133323209320678,1.1304207519596947
2024-05-07,1.2681947842240402,1.2009957631175463,1.140942997338801,1.1396757483732634
2024-05-08,1.2675579081700434,1.2005958506791057,1.139435304835762,1.1378368461419284
2024-05-09,1.2752422196677935,1.2067679472608572,1.1433655561642682,1.142949825769734
2024-05-10,1.2754717442628825,1.2088415795461254,1.145380118561326,1.145427476519011
